2018-05-24 03:22:43 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.1; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.1; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.1; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.2; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.2; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.2; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.3; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.3; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.3; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:43 INFO  Car - Speed:   0.4; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:44 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:44 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-24 03:22:44 INFO  Car - Speed:   0.5; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
